Nº ,OBJETO ,CONTRATO,DIRETORIA RESPONSÁVEL,Unidade,CÓD. PAOE,DESCRIÇÃO DO ITEM DE DESPESA,UNIDADE DE MEDIDA,QTD,VALOR UNITÁRIO,VALOR TOTAL,GRUPO DE DESPESA,NATUREZA,FONTE,IDU,"Plano Estratégico (A)
digite entre 0-5
0 = menor
5 = maior","Gravidade (B)
digite entre 1-5
1 = menor
5 = maior","Urgência (C)
digite entre 1-5
1 = menor
5 = maior","Tendência (d)
digite entre 1-5
1 = menor
5 = maior",Prioridade acumulada (A+B+C+D)
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8023,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,8039,,,,,"R$ 0,00",,,,,,,,,0
02,"EMPRESA ESPECIALIZADA EM SERVIÇOS DE COMPUTAÇÃO EM NUVEM PRIVADA PARA CONSOLIDAÇÃO DE BANCO DE DADOS E APLICAÇÕES ORACLE, ABRANGENDO PROVIMENTO DE INFRAESTRUTURA (IAAS) E PLATAFORMA (PAAS) VISANDO ATENDER A DEMANDA MTI",Existente / Aditivo,DTIC,UGITI,2787,Manter a nuvem privada de Oracle,Mensal,07,"R$ 1.250.000,00","R$ 8.750.000,00",3-DESPESAS CORRENTES,32935,1.501.0000,CD-CONTRATOS DIVERSOS,,,,,0
03,Aquisição de Solução para automatização do provimento de infraestrutura e serviços de TIC,Novo a contratar 2024,DTIC,UGITI,,"Aquisição de solução para realizar automatização do provimento de infraestrutura. 

OBS: Alguma plataforma que, por meio de código (Ansible, terraform, etc) pode automatizar, padronizar o provimento de infraestrutura e serviços de TIC",Unidade,01,"R$ 4.000.000,00","R$ 4.000.000,00",4-DESPESAS DE CAPITAL,4.4.90.40,1.501.0000,MAIS MT,,,,,0
04,Contratação de Empresa especializada para fornecimento de Soluções e Serviços de Nuvem Privada Oracle,Novo a contratar 2024,DTIC,UGITI,2787,Contratação de Empresa especializada para fornecimento de Soluções e Serviços de Nuvem Privada Oracle,Unidade,01,"R$ 21.000.000,00","R$ 21.000.000,00",4-DESPESAS DE CAPITAL,4.4.90.40,1.501.0000,OD-OUTRAS DESPESAS,,,,,0
05,Contratação de Serviços Especializados sob demanda para soluão de automatização do provimento de infraestrutura e serviços de TIC,Novo a contratar 2024,DTIC,UGITI,,"Contratação de Serviços Especializados sob demanda para soluão de automatização do provimento de infraestrutura e serviços de TIC
",Unidade,4500,"R$ 600,00","R$ 2.700.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.501.0000,OD-OUTRAS DESPESAS,,,,,0
06,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA RENOVAÇÃO DO LICENCIAMENTO E ATUALIZAÇÃO TECNOLÓGICA DOS SOFTWARES CHECK POINT,  PELO PRAZO DE 60 (SESSENTA) MESES",Existente / Aditivo,DTIC,UGGDC,2787,"Manter Licenciamento e suporte
Solução de Segurança de redes da
Infovia
",Unidade,01,"R$ 15.000.000,00","R$ 15.000.000,00",4-DESPESAS DE CAPITAL,32967,1.501.0000,CD-CONTRATOS DIVERSOS,,,,,0
07,"CONTRATAÇÃO DE SERVIÇO DE SUPORTE TÉCNICO E PRESTAÇÃO DE SERVIÇOS ESPECIALIZADOS E CAPACITAÇÃO OFICIAL DE PLATAFORMAS CHECKPOINT, PELO PRAZO DE 60 (SESSENTA) MESES",Novo a contratar 2024,DTIC,UGGDC,2787,"Manter Licenciamento e suporte
Solução de Segurança de redes da
Infovia
",Mensal,12,"R$ 500.000,00","R$ 6.000.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.501.0000,OD-OUTRAS DESPESAS,,,,,0
08,"Contratação de empresa de prestação de serviços de manutenção preventiva e corretiva, asssitência e suporte técnico, incluindo substituição de peças, atualização de software para equipamentos de armazenamento e conectividade do Data Center da MTI, pelo prazo de 3 anos (Lote 01 equipamentos de armazenamento)",Existente / Aditivo,DTIC,UGITI,2787,"Manter suporte e garantia dos
equipamentos de armazenamento,
backup e conectividade
",Mensal,12,"R$ 100.000,00","R$ 1.200.000,00",3-DESPESAS CORRENTES,32935,1.501.0000,CD-CONTRATOS DIVERSOS,,,,,0
09,"Contratação de empresa de prestação de serviços de manutenção preventiva e corretiva, asssitência e suporte técnico, incluindo substituição de peças, atualização de software para equipamentos de armazenamento e conectividade do Data Center da MTI, pelo prazo de 3 anos (Lote 03 - Hardware de backup; Lote 04 - Comunicação de dados)",Existente / Aditivo,DTIC,UGITI,2787,"Manter suporte e garantia dos equipamentos de armazenamento, backup e conectividade",Mensal,12,"R$ 15.000,00","R$ 180.000,00",3-DESPESAS CORRENTES,32935,1.501.0000,CD-CONTRATOS DIVERSOS,,,,,0
10,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS CONTINUADOS DE MANUTENÇÃO PREVENTIVA, CORRETIVA E SOB DEMANDA NOS EQUIPAMENTOS E INSTALAÇÕES ELÉTRICAS E DE REFRIFERAÇÃO DO DATA CENTER DA MTI, PELO PERÍODO DE 36 MESES",Existente / Aditivo,DTIC,UGITI,2787,"Contratar empresa especializada
para manter sistema elétrico e de
refrigeração do Data Center da MTI

",Mensal,12,"R$ 90.000,00","R$ 1.080.000,00",3-DESPESAS CORRENTES,32935,1.501.0000,CD-CONTRATOS DIVERSOS,,,,,0
58,"Contratação de serviço especializado em Integração de Dados  (QDI, Compose e Replicate)",Novo a contratar 2024,DTIC,UGGDC,2787,"QDI, Compose e Replicate",Mensal,12,"R$ 160.000,00","R$ 1.920.000,00",3-DESPESAS CORRENTES,32935,1.500.0000,MAIS MT,,,,,0
59,Contratação de Solução de Gerenciamento para BigData (Cloudera) ,Novo a contratar 2024,DTIC,UGGDC,2787,Solução BigData (Cloudera) ,Unidade,01,"R$ 2.400.570,00","R$ 2.400.570,00",4-DESPESAS DE CAPITAL,32967,1.501.0000,OD-OUTRAS DESPESAS,,,,,0
60,Contratação de Serviço de implementação da Solução de Gerenciamento para BigData (Cloudera) ,Novo a contratar 2024,DTIC,UGGDC,2787,Serviços de BigData (Cloudera) ,Mensal,12,"R$ 300.877,88","R$ 3.610.534,50",3-DESPESAS CORRENTES,32935,1.501.0000,OD-OUTRAS DESPESAS,,,,,0
61,Registro de Preço para Contratação de Solução para Geoprocessamento,Novo a contratar 2024,DTIC,UGGDC,2787,Software de Solução para Geoprocessamento,Unidade,01,"R$ 2.000.000,00","R$ 2.000.000,00",4-DESPESAS DE CAPITAL,32967,1.501.0000,OD-OUTRAS DESPESAS,,,,,0
62,Registro de Preço para Contratação de Serviço para Solução de Geoprocessamento ,Novo a contratar 2024,DTIC,UGGDC,2787,Serviço para Solução de Geoprocessamento ,Mensal,12,"R$ 110.000,00","R$ 1.320.000,00",3-DESPESAS CORRENTES,32935,1.501.0000,OD-OUTRAS DESPESAS,,,,,0
63,Contratação de solução de Firewall,Novo a contratar 2024,DTIC,UGGDC,2787,Firewall (Expansão),Unidade,01,"R$ 25.000.000,00","R$ 25.000.000,00",4-DESPESAS DE CAPITAL,32967,1.501.0000,OD-OUTRAS DESPESAS,,,,,0
64,"Contratação de Serviço de Implantação Consultoria Firewalll
",Novo a contratar 2024,DTIC,UGGDC,2787,Serviço de Firewall (Expansão),Mensal,12,"R$ 200.000,00","R$ 2.400.000,00",3-DESPESAS CORRENTES,32935,1.501.0000,OD-OUTRAS DESPESAS,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
01,"Contratação de empresa especializada para prestação de
serviços continuados com fornecimento de material sob demanda para o
atendimento em manutenção corretiva, preventiva, expansão e remanejamento para redes de fibra óptica, cabeamento estruturado e infraestrutura
associada, da INFOVIA-MT.",Existente / Aditivo,DTIC,UGITI,1208,"Manutenção corretiva, preventiva da Rede INFOVIA-mt",Mensal,12,"R$ 36.000,00","R$ 432.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.500.0000,MAIS MT,,,,,0
02,"Contratação de empresa especializada para prestação de
serviços continuados com fornecimento de material sob demanda para o
atendimento em manutenção corretiva, preventiva, expansão e remanejamento para redes de fibra óptica, cabeamento estruturado e infraestrutura
associada, da INFOVIA-MT.",Existente / Aditivo,DTIC,UGITI,1208,"Expansão e remanejamento de Rede de fibra óptica, cabeamento estruturado e infraestrutura associada da rede INFOVIA-MT",Unidade,01,"R$ 8.000.000,00","R$ 8.000.000,00",4-DESPESAS DE CAPITAL,4.4.90.40,1.500.0000,MAIS MT,,,,,0
03,Contratação de empresa especializada no fornecimento de serviços de comunicação de dados para promover a conectividade entre AS(Autonomous System) da MTI com a Internet na Modalidade Terrestre contemplando a disponibilizaçaõ de roteador com solução de gerência da rede e prevenção de ataque DDoS no Backbone do provedor do serviço,Existente / Aditivo,DTIC,UGITI,2787,"Manter acesso à internet do Sistema Autonomo (AS) - link 1
",Mensal,12,"R$ 20.000,00","R$ 240.000,00",3-DESPESAS CORRENTES,32935,1.501.0000,CD-CONTRATOS DIVERSOS,,,,,0
04,Contratação de emrpesa especializada no fornecimento de serviços de comunicaçaõ de daods para promover a concetividade entre AS(Autonomous System) da MTI com a Internet na Modalidade Terrestre contemplando a disponibilizaçaõ de roteador com solução de gerência da rede e prevenção de ataque DDoS no Backbone do provedor do serviço,Existente / Aditivo,DTIC,UGITI,2787,"
Manter acesso à internet do Sistema Autonomo (AS) - link 2",Mensal,12,"R$ 20.000,00","R$ 240.000,00",3-DESPESAS CORRENTES,32935,1.501.0000,CD-CONTRATOS DIVERSOS,,,,,0
05,"Registro de Preço para Contratação de empresa especializada para aquisição futura e eventual de SOLUÇÃO DE REDE E CONECTIVIDADE PARA AMBIENTE DE DATACENTER EM TOPOLOGIA SPINE-LEAF BASEADA EM SDN (Software Defined Network) E CONEXÃO À REDE INFOVIA, incluindo EQUIPAMENTOS, SOFTWARES,  IMPLANTAÇÃO, ATUALIZAÇÃO E GARANTIA, TREINAMENTO E SERVIÇOS DE MANUTENÇÃO, SUPORTE TÉCNICO E OPERAÇÃO ASSISTIDA",Novo a contratar 2024,DTIC,UGITI,1208,Implantar Nova Solução de Rede para ambiente de Datacenter  baseada em Topologia Spine-Leaf em SDN,Unidade,01,"R$ 26.000.000,00","R$ 26.000.000,00",4-DESPESAS DE CAPITAL,4.4.90.40,1.500.0000,MAIS MT,5,3,4,3,180
06,"Contratação de empresa especializada para reestruturação e amplicação da Rede INFOVIA-MT, com fornecimento de Materiais, equipamentos e serviços especializados",Novo a contratar 2024,DTIC,UGITI,1208,"Expansão e remanejamento de Rede de fibra óptica, cabeamento estruturado e infraestrutura associada da rede INFOVIA-MT para atender rede LAN (Etapa 2) e amplicação da Rede MAN",Unidade,01,"R$ 24.000.000,00","R$ 24.000.000,00",4-DESPESAS DE CAPITAL,4.4.90.40,1.500.0000,MAIS MT,5,3,4,3,180
07,Aquisição de equipamentos de Rede com suporte e garantia,Novo a contratar 2024,DTIC,UGITI,1208,Aquisição de equipamentos de rede (Switchs de Acesso e Agregação) necessários para atendimento de demandas existentes,Unidade,01,"R$ 6.000.000,00","R$ 6.000.000,00",4-DESPESAS DE CAPITAL,4.4.90.40,1.500.0000,MAIS MT,5,4,4,4,320
08,"PRESTAÇÃO DE SERVIÇOS CONTINUADOS COM FORNECIMENTO DE MATERIAL SOB DEMANDA PARA O ATENDIEMNTO EM MANUTENÇÃO CORRETIVA, PREVENTIVA, EXPANSÃO E REMANEJAMENTO PARA REDES DE FIBRA ÓPTICA, CABEAMENTO ESTRUTURADO E INFRAESTRUTURA ASSOCIADA, DA INFOVIA-MT",Novo a contratar 2024,DTIC,UGITI,1208,Serviço de Manutenção corretiva e preventiva da INFOVIA (Sob demanda),Mensal,12,"R$ 600.000,00","R$ 7.200.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.500.0000,MAIS MT,,,,,0
09,Contratação de empresa especializada para prestação de serviços reestruturação e amplicação da Rede INFOVIA-MT,Novo a contratar 2024,DTIC,UGITI,1208,"Serviço de Expansão e remanejamento de Rede de fibra óptica, cabeamento estruturado e infraestrutura associada da rede INFOVIA-MT para atender rede LAN (Etapa 2) e amplicação da Rede MAN",Unidade,01,"R$ 4.000.000,00","R$ 4.000.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.500.0000,MAIS MT,5,3,4,3,180
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,,,,,,"R$ 0,00",,,,,,,,,0
