CÓDIGO DO RISCO,DESCRIÇÃO DO RISCO,CATEGORIA DO RISCO,RISCO INERENTE,RISCO RESIDUAL,RISCO DE SEGURANÇA DA INFORMAÇÃO - SI,O QUE,QUEM,QUAL ATIVO CRÍTICO AFETADO PELO RISCO?,POR QUE,COMO,INÍCIO,FIM,QUANTO,SITUAÇÃO,PERCETUAL DE EXECUÇÃO,OBSERVAÇÕES,UG,Situação Geral,Número de Ações,Quantidade de Eventos de Riscos
R.UGGDC.01,Indisponibilidade do Ambiente do Data Lake,OPERACIONAL,,CRÍTICO,SIM,"Regularizar licenciamento e suporte técnico das plataformas de BigData ""Cloudera""",Helder Ramos,GEGD,Para garantir ambiente tecnológico adequado para o desenvolvimento de soluções de BI e BigData Lake Coorportivo,"1 -Elaborar TR para renovação de licença e suporte técnico (Clodera) de todos os produtos que contempla o Projeto de BigData

",17/01/2024,20/12/2024,"R$ 15.142.815,95",EM ANDAMENTO,99%,Processo Autorizado para Licitação -  MTI-PRO-2023/02416,UGGDC,"50,00%",3,3
R.UGGDC.02,Indisponibilidade do Ambiente de GeoProcessamento,OPERACIONAL,ALTO,,SIM,Elaborar Termo de Referência ou desenvolver Parceria Estratégica de Soluções de GeoProcessamento,Helder Ramos,GEGD,Possibilitar a atualização tecnológica de GeoProcessamento e mão de obra especializada,"1 - Elaborar ETP e TR para aquisição
2 - Prospecção de Parceria Estratégica de GeoProcessamento
",02/03/2024,21/12/2024,,CANCELADA,"0,00%",Acordado junto a UGEN que será feito a atualização com a renovação tecnológica já existente.,UGGDC,,,
R.UGGDC.03,Ataques cibernéticos ,OPERACIONAL,ALTO,,SIM,Elaborar Projeto para Implementação de CSIRT - Centro de Tratamento de Incidêntes com objetivo de tratar todos e qualquer incidente Cibernético,Hercules,GEDC,Para garantir o tratamento adequado de Ataques Cibernéticos,"1 - Capacitar a Equipe Técnica 
2 - Elaboração do Projeto de CSIRT 
3 - Contratação de Soluções de CiberSegurança  
4 - Implementação das Soluções 
5 - Monitoramento
",03/03/2024,22/12/2024,,EM ANDAMENTO,51%,"Planejamento do Projeto Elaborado, porém passará por uma revisão, para começar as fases de execução. Projeto sendo acompanhando no ServiceNow",UGGDC,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UGPRO.01,Ausência de acompanhamento de projetos estratégicos.,ESTRATÉGICO,ALTO,,NÃO,Acompanhamento de Projetos Estratégicos,Gerente da UGPRO,MTI,Assegurar junto aos Times de Projetos as Entregas pactuadas junto aos Clientes.,"1 - Acompanhamento semanal junto com Diretor de TI e Gerentes de Áreas.
2 - Implementação de Melhorias no Service Now, com intuito de garantir uma fluidez na execução de monitoramento pelos Times de Projetos.
3 - Reunião semanal de Status Report com o Presidente dos Projetos Estratégicos.",01/05/2024,31/05/2024,R$ -,CONCLUÍDA,"100,00%",,UGPRO,"57,14%",7,7
R.UGPRO.02,Contratualização com o parceiro da ServiceNow ,ESTRATÉGICO,ALTO,,NÃO,Contratação de Horas e Serviços Técnicos com Parceiro Service Now.,Gerente da UGPRO,MTI,Para dar continuidade aos projetos do MTI,"1 - Alinhamento com a Presidência MTI, apresentando dados e necessidades de utilização de Horas Técnicas do Parceiro no Service Now.
2 - Confecção de TR de contratação de Horas e Serviços Técnicos do Parceiro da Service Now.
3 - Planejamento na utilização de Horas e Serviços Ténicos Contratados: Implantação, Suporte e Melhorias.",,10/05/2024,R$ -,CONCLUÍDA,"100,00%","1. Termo de Referência encontra-se parcialmente confeccionado; Atualmente não existe orçamento previsto para contratação dos produtos e serviços, em contrapartido,a UGPRO em conjunto com a DTIC, está realizando levantamento dos contratos de TI que ainda não foram executados para utilização do Saldo Orçamentário e posteriormente apresentação de proposta a Presidência.

2. [08.07.2024] - Termo de Referência concluído e tramitado para análises e deliberações.",UGPRO,,,
R.UGPRO.03,Mudanças na legislação e regulamentação,ESTRATÉGICO,MODERADO,,NÃO,Adequações a novas possíveis legislações ,Equipe da UGPRO,MTI,"As alterações nas Leis e Regulamentos Governamentais podem gerar impactos nos projetos em andamentos, exigindo ajustes nos planos e nas operações do PMO.","1 - Acompanhamento semanal junto com Diretor de TI e Gerentes de Áreas, levantando os potenciais problemas e riscos alinhados ao Cliente.
2- Atualização semanal do cronograma de execução física do Projeto.",01/05/2024,31/05/2024,R$ -,CONCLUÍDA,"100,00%",,UGPRO,,,
R.UGPRO.04,Mudanças nas demandas do mercado,ESTRATÉGICO,MODERADO,,NÃO,"Solicitar mais de um fornecedor externo de tecnologia, hardware ou servidores ",Equipe UGPRO,MTI,Para evitar falhas e riscos nos projetos ,1 - Sempre se atentando a mudanças no mercado.,,,R$ -,CANCELADA,"0,00%",,UGPRO,,,
R.UGPRO.05,Problemas de integração de sistemas,OPERACIONAL,MODERADO,,NÃO,"Gestão de Mudança em situações de integração de Sistemas com o Service Now, que devido a ausência de especificação e/ou refinamento das necessidades, podem impactar nas automações da ferramenta.",Equipe da UGPRO,MTI,"Impactos em rotinas de processos, utilização da ferramenta que podem chegar ao Cliente.",1 - Implementação de Gestão de Mudança de todas iniciativas de Melhorias no Service Now,,,R$ -,CANCELADA,"0,00%","1. Implementação não realizando, devendo ser iniciada a partir do momento da conclusão da aquisição do Contrato de Consumo de Horas e Licenças do SN.

2. Iniciativa cancelada, em decorrência de reestruturação de nova estratégia de execução de Contrato com Parceiro da ServiceNow.",UGPRO,,,
R.UGPRO.06,Riscos de fornecedores (Fábrica de Software),OPERACIONAL,ALTO,,NÃO,Adaptação e utilização de melhores equipamentos para comunicação,Equipe UGPRO,MTI,Para manter a clareza e e praticidade nas reuniões ,1 - Solicitando sempre manutenção dos equipamentos.,,,R$ -,CANCELADA,"0,00%",,UGPRO,,,
R.UGPRO.07,Aculturamento na metodologia de gestão de projetos/ágil,ESTRATÉGICO,ALTO,,NÃO,"Cultura engessada e sem engajamento 
a novos desafios, inovação e Gestão de 
Mudança",Equipe UGPRO,MTI,"A resistência à mudança dentro da organização pode 
dificultar a implementação bem-sucedida de novas 
tecnologias ou processos, exigindo esforços extras de 
gerenciamento de mudanças.","1 - Promover Workshop sobre o Service Now.
2 - Comunicação nas principais Melhorias implementadas no Service Now.
3 - Implementação de Melhorias que agreguem valor aos usuários do Service Now",01/05/2024,31/08/2024,R$ -,CONCLUÍDA,"100,00%","1. Implementação de novo Fluxo de Projetos no ServiceNow, próximos passos é a realização de capacitação, em conjunto com a DTIC, aos usuário.

2. Readequação de prazo para dia 31.08.2024.

3. Divulgados em julho o Guia de Gestão de Projeros + Painel de Dados BIP - Boletim Informativo de Projetos.

4. Elaboração de material de treinamento para disseminação da MTI.

5. Alinhamento com a VAExpert a disseminação da metodologia ágil",UGPRO,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UGARQ.01,Indisponibilidade da Plataforma de Simplificação ,OPERACIONAL,ALTO,,SIM,"- Manter redundância dos ativos  e monitorar a saúde do ambiente
- Quanto ao risco contratual, apenas aceitar, pois é uma tecnologia proprietária e não tem como ter uma alterativa. Em caso de ocorrer a quebra de contrato, as aplicações precisam ser refeitas para não utilizar essa tecnologia.",William Chitto,GIAP,Mitigar a chance de indisponibilidade,"Monitorar o ambiente pelo Zabbix, e manter servidores redundantes rodando em paralelo",01/03/2024,31/12/2024,N/A,CONCLUÍDA,100%,,UGARQ,"50,00%",4,4
R.UGARQ.02,Indisponibilidade do servidor seguro e central da MTI no Xvia,OPERACIONAL,MODERADO,,SIM,"- Evoluir o xVia para ser entregue em formato de docker, assim fica mais fácil para provisionar outros ambientes em caso de falha
- Manter redundância dos servidores",George Oliveira,GASI,Mitigar a chance de indisponibilidade,"Compliar o xVia na versão nova e manter uma imagem de fácil deploy. 
Instalar várias instâncias dos servidores seguros para mitigar chance de indisponibilidade.",01/01/2024,31/12/2024,N/A,EM ANDAMENTO,"95,00%","Foi feito o deploy do SS da MTI no GKE, ainda resolvendo problema de IPs no kubernetes local para fazer deploy de outros servidores seguros",UGARQ,,,
R.UGARQ.03,Indisponibilidade do servidor seguro dos órgãos no Xvia,OPERACIONAL,PEQUENO,,SIM,"- Prover suporte para as equipes dos clientes
- Evoluir o xVia para ser entregue em formato de docker, assim fica mais fácil para provisionar outros ambientes em caso de falha",George Oliveira,GASI,Mitigar a chance de indisponibilidade,Fornecer nova versão do xVia aos clientes,01/06/2024,31/12/2024,N/A,NÃO INICIADA,"0,00%",Aguardando finalizar o item R.UGARQ.02,UGARQ,,,
R.UGARQ.04,Indisponibilidade do GCP,OPERACIONAL,ALTO,,SIM,- Manter redundância das aplicações em ambiente local,Fernando Tonon ,UGARQ,Evitar a indisponibilidade das aplicações quando não houver mais contrato com o GCP,Recomendar aos responsáveis das aplicações a aplicação de uma arquitetura em que as aplicações sejam disponibilizadas em paralelo no ambiente da MTI,01/01/2024,31/12/2024,N/A,EM ANDAMENTO,"5,00%",Necessário preparar os ambientes e configurar as esteiras de desenvolvimento e aplicações,UGARQ,,,
